crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
0.00632,18,2.31,0,0.538,7,65.2,4.09,1,296,15.3,396.9,4.98,24
0.02731,0,7.07,0,0.469,6,78.9,5,2,242,17.8,396.9,9.14,21.6
0.02729,0,7.07,0,0.469,7,61.1,5,2,242,17.8,392.83,4.03,34.7
0.03237,0,2.18,0,0.458,7,45.8,6,3,222,18.7,394.63,2.94,33.4
0.06905,0,2.18,0,0.458,7,54.2,6,3,222,18.7,396.9,5.33,36.2
0.02985,0,2.18,0,0.458,6.43,58.7,6,3,222,18.7,394.12,5.21,28.7
0.08829,12.5,7.87,0,0.524,6,66.6,6,5,311,15.2,395.6,12.43,22.9
0.14455,12.5,7.87,0,0.524,6,96.1,6,5,311,15.2,396.9,19.15,27.1
0.21124,12.5,7.87,0,0.524,6,100,6,5,311,15.2,386.63,29.93,16.5
0.17004,12.5,7.87,0,0.524,6,85.9,7,5,311,15.2,386.71,17.1,18.9
0.22489,12.5,7.87,0,0.524,6,94.3,6,5,311,15.2,392.52,20.45,15
0.11747,12.5,7.87,0,0.524,6,82.9,6,5,311,15.2,396.9,13.27,18.9
0.09378,12.5,7.87,0,0.524,6,39,5,5,311,15.2,390.5,15.71,21.7
0.62976,0,8.14,0,0.538,6,61.8,5,4,307,21,396.9,8.26,20.4
0.63796,0,8.14,0,0.538,6,84.5,4,4,307,21,380.02,10.26,18.2
0.62739,0,8.14,0,0.538,6,56.5,4,4,307,21,395.62,8.47,19.9
1,0,8.14,0,0.538,6,29.3,4,4,307,21,386.85,6.58,23.1
0.7842,0,8.14,0,0.538,5.99,81.7,4,4,307,21,386.75,14.67,17.5
0.80271,0,8.14,0,0.538,5,36.6,4,4,307,21,288.99,11.69,20.2
0.7258,0,8.14,0,0.538,6,69.5,4,4,307,21,390.95,11.28,18.2
1,0,8.14,0,0.538,5.57,98.1,4,4,307,21,376.57,21.02,13.6
0.85204,0,8.14,0,0.538,6,89.2,4,4,307,21,392.53,13.83,19.6
1,0,8.14,0,0.538,6,91.7,4,4,307,21,396.9,18.72,15.2
0.98843,0,8.14,0,0.538,6,100,4,4,307,21,394.54,19.88,14.5
0.75026,0,8.14,0,0.538,6,94.1,4,4,307,21,394.33,16.3,15.6
0.84054,0,8.14,0,0.538,6,85.7,4,4,307,21,303.42,16.51,13.9
0.67191,0,8.14,0,0.538,6,90.3,5,4,307,21,376.88,14.81,16.6
0.95577,0,8.14,0,0.538,6,88.8,4,4,307,21,306.38,17.28,14.8
0.77299,0,8.14,0,0.538,6,94.4,4,4,307,21,387.94,12.8,18.4
